,CostsAndExpenses-0,CostsAndExpenses-1,CostsAndExpenses-2,CostsAndExpenses-3,CostsAndExpenses-4,DepreciationAndAmortization-0,DepreciationAndAmortization-1,DepreciationAndAmortization-2,DepreciationAndAmortization-3,DepreciationAndAmortization-4,GrossProfit-0,GrossProfit-1,GrossProfit-2,GrossProfit-3,GrossProfit-4,IncomeTaxesPaidNet-0,IncomeTaxesPaidNet-1,IncomeTaxesPaidNet-2,IncomeTaxesPaidNet-3,IncomeTaxesPaidNet-4,NetIncomeLoss-0,NetIncomeLoss-1,NetIncomeLoss-2,NetIncomeLoss-3,NetIncomeLoss-4,OperatingIncomeLoss-0,OperatingIncomeLoss-1,OperatingIncomeLoss-2,OperatingIncomeLoss-3,OperatingIncomeLoss-4,Revenues-0,Revenues-1,Revenues-2,Revenues-3,Revenues-4,FreeCashFlow-0,FreeCashFlow-1,FreeCashFlow-2,FreeCashFlow-3,FreeCashFlow-4
2007-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,7677000000.0,6665000000.0,6761000000.0,8779000000.0,6453000000.0,151917355.37190083,151917355.37190083,151917355.37190083,151917355.37190083,97016528.92561984,5105000000.0,3023000000.0,3627000000.0,4507000000.0,2739000000.0,507000000.0,662000000.0,1278000000.0,550000000.0,245000000.0,2532000000.0,1229000000.0,1620000000.0,2255000000.0,1136000000.0,2193000000.0,1672000000.0,2323000000.0,3101000000.0,1442000000.0,11361000000.0,8337000000.0,9084000000.0,11880000000.0,7895000000.0,2651000000.0,2024000000.0,741000000.0,3599000000.0,3892000000.0
2009-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,14896000000.0,11466000000.0,9520000000.0,10958000000.0,7677000000.0,204311294.7658402,204311294.7658402,204311294.7658402,204311294.7658402,151917355.37190083,7512000000.0,6136000000.0,5625000000.0,6411000000.0,5105000000.0,40000000.0,513000000.0,1164000000.0,980000000.0,507000000.0,4308000000.0,3253000000.0,3074000000.0,3378000000.0,2532000000.0,5447000000.0,4234000000.0,3979000000.0,4725000000.0,2193000000.0,20343000000.0,15700000000.0,13499000000.0,15683000000.0,11361000000.0,4923000000.0,4206000000.0,2056000000.0,5405000000.0,2651000000.0
2010-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,16793000000.0,18914000000.0,14896000000.0,11466000000.0,9520000000.0,401101928.3746556,401101928.3746556,204311294.7658402,204311294.7658402,204311294.7658402,10218000000.0,10298000000.0,7512000000.0,6136000000.0,5625000000.0,1087000000.0,826000000.0,40000000.0,513000000.0,1164000000.0,5987000000.0,6004000000.0,4308000000.0,3253000000.0,3074000000.0,7874000000.0,7827000000.0,5447000000.0,4234000000.0,3979000000.0,24667000000.0,26741000000.0,20343000000.0,15700000000.0,13499000000.0,5595000000.0,8559000000.0,4923000000.0,4206000000.0,2056000000.0
2011-06-30,19192000000.0,16793000000.0,18914000000.0,14896000000.0,11466000000.0,401101928.3746556,401101928.3746556,401101928.3746556,204311294.7658402,204311294.7658402,11922000000.0,10218000000.0,10298000000.0,7512000000.0,6136000000.0,650000000.0,1087000000.0,826000000.0,40000000.0,513000000.0,7308000000.0,5987000000.0,6004000000.0,4308000000.0,3253000000.0,9379000000.0,7874000000.0,7827000000.0,5447000000.0,4234000000.0,28571000000.0,24667000000.0,26741000000.0,20343000000.0,15700000000.0,10331000000.0,5595000000.0,8559000000.0,4923000000.0,4206000000.0
