,CostsAndExpenses-0,CostsAndExpenses-1,CostsAndExpenses-2,CostsAndExpenses-3,DepreciationAndAmortization-0,DepreciationAndAmortization-1,DepreciationAndAmortization-2,DepreciationAndAmortization-3,EarningsPerShareDiluted-0,EarningsPerShareDiluted-1,EarningsPerShareDiluted-2,EarningsPerShareDiluted-3,GrossProfit-0,GrossProfit-1,GrossProfit-2,GrossProfit-3,IncomeTaxesPaidNet-0,IncomeTaxesPaidNet-1,IncomeTaxesPaidNet-2,IncomeTaxesPaidNet-3,NetIncomeLoss-0,NetIncomeLoss-1,NetIncomeLoss-2,NetIncomeLoss-3,OperatingIncomeLoss-0,OperatingIncomeLoss-1,OperatingIncomeLoss-2,OperatingIncomeLoss-3,Revenues-0,Revenues-1,Revenues-2,Revenues-3,FreeCashFlow-0,FreeCashFlow-1,FreeCashFlow-2,FreeCashFlow-3,EntityCommonStockSharesOutstanding-0,MarketCap,dividend,splits,close,static_quantile,dynamic_quantile,category
2007-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24208660000.0,132689384161.82518,0.0,0.0,5.4810709953308105,5.177999591827393,5.067285537719728,4
2007-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24208660000.0,172772025380.373,0.0,0.0,7.136785984039307,6.969786167144775,6.799643039703369,4
2008-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24208660000.0,123645732796.97418,0.0,0.0,5.107500076293945,4.80435724258423,5.762856960296631,4
2008-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24684576000.0,149949990140.53345,0.0,0.0,6.074643135070801,6.630000114440918,6.630000114440918,4
2008-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24684576000.0,113055356196.71632,0.0,0.0,4.579999923706055,5.793356895446778,6.212642860412598,4
2008-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25004448000.0,76629704186.37085,0.0,0.0,3.064642906188965,3.441499948501588,3.5437145233154297,4
2009-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24953040000.0,95222573141.21246,0.0,0.0,3.816071033477783,3.664071655273438,3.541429042816162,4
2009-06-27,6665000000.0,6761000000.0,8779000000.0,6453000000.0,151917355.37190083,151917355.37190083,151917355.37190083,97016528.92561984,1.35,1.79,2.5,1.260000000000001,3023000000.0,3627000000.0,4507000000.0,2739000000.0,662000000.0,1278000000.0,550000000.0,245000000.0,1229000000.0,1620000000.0,2255000000.0,1136000000.0,1672000000.0,2323000000.0,3101000000.0,1442000000.0,8337000000.0,9084000000.0,11880000000.0,7895000000.0,2024000000.0,741000000.0,3599000000.0,3892000000.0,25082869224.0,127300339461.91406,0.0,0.0,5.0871429443359375,5.089142990112305,4.894643115997314,4
2009-09-26,7677000000.0,6665000000.0,6761000000.0,8779000000.0,151917355.37190083,151917355.37190083,151917355.37190083,151917355.37190083,2.77,1.35,1.79,2.5,5105000000.0,3023000000.0,3627000000.0,4507000000.0,507000000.0,662000000.0,1278000000.0,550000000.0,2532000000.0,1229000000.0,1620000000.0,2255000000.0,2193000000.0,1672000000.0,2323000000.0,3101000000.0,11361000000.0,8337000000.0,9084000000.0,11880000000.0,2651000000.0,2024000000.0,741000000.0,3599000000.0,25082869224.0,163370097782.35474,0.0,0.0,6.513214111328125,6.575428676605225,6.119428634643555,4
2009-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25218997244.0,188277820230.9765,0.0,0.0,7.465713977813721,7.163928985595703,7.263857173919678,4
