,CostsAndExpenses-0,CostsAndExpenses-1,CostsAndExpenses-2,CostsAndExpenses-3,DepreciationAndAmortization-0,DepreciationAndAmortization-1,DepreciationAndAmortization-2,DepreciationAndAmortization-3,EarningsPerShareDiluted-0,EarningsPerShareDiluted-1,EarningsPerShareDiluted-2,EarningsPerShareDiluted-3,GrossProfit-0,GrossProfit-1,GrossProfit-2,GrossProfit-3,IncomeTaxesPaidNet-0,IncomeTaxesPaidNet-1,IncomeTaxesPaidNet-2,IncomeTaxesPaidNet-3,NetIncomeLoss-0,NetIncomeLoss-1,NetIncomeLoss-2,NetIncomeLoss-3,OperatingIncomeLoss-0,OperatingIncomeLoss-1,OperatingIncomeLoss-2,OperatingIncomeLoss-3,Revenues-0,Revenues-1,Revenues-2,Revenues-3,FreeCashFlow-0,FreeCashFlow-1,FreeCashFlow-2,FreeCashFlow-3,EntityCommonStockSharesOutstanding-0,MarketCap,splits,close,static_quantile,dynamic_quantile,category
2007-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8260000000.0,38260319747.924805,0.0,4.631999969482422,4.715499877929688,4.64419994354248,6
2008-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400000000.0,32214000320.43457,0.0,3.8350000381469727,3.659499883651733,3.98799991607666,6
2008-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8460000000.0,30777480096.817017,0.0,3.638000011444092,4.038899898529053,4.065699863433838,6
2008-12-31,6430000000.0,4110000000.0,3846000000.0,3937000000.0,77000000.0,76000000.0,70000000.0,64000000.0,0.52,0.27,0.37,0.3299999999999999,1348000000.0,999000000.0,967000000.0,956000000.0,25000000.0,5000000.0,15000000.0,8000000.0,225000000.0,118000000.0,158000000.0,143000000.0,273000000.0,154000000.0,217000000.0,198000000.0,6703000000.0,4264000000.0,4063000000.0,4135000000.0,1470000000.0,322000000.0,278000000.0,-706000000.0,8460000000.0,21691439080.238342,0.0,2.563999891281128,2.5802000522613526,2.7943999767303467,6
2009-03-31,4645000000.0,6430000000.0,4110000000.0,3846000000.0,87000000.0,77000000.0,76000000.0,70000000.0,0.41,0.52,0.27,0.37,1148000000.0,1348000000.0,999000000.0,967000000.0,11000000.0,25000000.0,5000000.0,15000000.0,177000000.0,225000000.0,118000000.0,158000000.0,244000000.0,273000000.0,154000000.0,217000000.0,4889000000.0,6703000000.0,4264000000.0,4063000000.0,-640000000.0,1470000000.0,322000000.0,278000000.0,8580000000.0,31505759410.858154,0.0,3.671999931335449,3.5684000968933107,3.43149995803833,6
2009-06-30,4492000000.0,4645000000.0,6430000000.0,4110000000.0,84000000.0,87000000.0,77000000.0,76000000.0,0.32,0.41,0.52,0.27,1133000000.0,1148000000.0,1348000000.0,999000000.0,23000000.0,11000000.0,25000000.0,5000000.0,142000000.0,177000000.0,225000000.0,118000000.0,159000000.0,244000000.0,273000000.0,154000000.0,4651000000.0,4889000000.0,6703000000.0,4264000000.0,390000000.0,-640000000.0,1470000000.0,322000000.0,8620000000.0,36057460756.30188,0.0,4.183000087738037,4.291200065612793,4.193999767303467,6
2009-09-30,5198000000.0,4492000000.0,4645000000.0,6430000000.0,96000000.0,84000000.0,87000000.0,77000000.0,0.45,0.32,0.41,0.52,1273000000.0,1133000000.0,1148000000.0,1348000000.0,10000000.0,23000000.0,11000000.0,25000000.0,199000000.0,142000000.0,177000000.0,225000000.0,251000000.0,159000000.0,244000000.0,273000000.0,5449000000.0,4651000000.0,4889000000.0,6703000000.0,696000000.0,390000000.0,-640000000.0,1470000000.0,8636147400.0,40313537973.9687,0.0,4.668000221252441,4.545199871063232,4.417099952697754,6
2009-12-31,9043000000.0,5198000000.0,4492000000.0,4645000000.0,96000000.0,96000000.0,96000000.0,96000000.0,0.85,0.45,0.32,0.41,1976000000.0,1273000000.0,1133000000.0,1148000000.0,4000000.0,10000000.0,23000000.0,11000000.0,384000000.0,199000000.0,142000000.0,177000000.0,476000000.0,251000000.0,159000000.0,244000000.0,9519000000.0,5449000000.0,4651000000.0,4889000000.0,2474000000.0,696000000.0,390000000.0,-640000000.0,8659655320.0,58244840228.82561,0.0,6.72599983215332,6.923500061035156,6.7080999374389645,6
2010-03-31,6737000000.0,9043000000.0,5198000000.0,4492000000.0,119000000.0,111000000.0,96000000.0,84000000.0,0.66,0.85,0.45,0.32,1630000000.0,1976000000.0,1273000000.0,1133000000.0,4000000.0,4000000.0,10000000.0,23000000.0,299000000.0,384000000.0,199000000.0,142000000.0,394000000.0,476000000.0,251000000.0,159000000.0,7131000000.0,9519000000.0,5449000000.0,4651000000.0,-1238000000.0,2474000000.0,696000000.0,390000000.0,8890928840.0,60356068938.02712,0.0,6.78849983215332,6.7397997856140135,6.595300102233887,6
2010-06-30,6296000000.0,6737000000.0,9043000000.0,5198000000.0,129000000.0,119000000.0,111000000.0,96000000.0,0.45,0.66,0.85,0.45,1609000000.0,1630000000.0,1976000000.0,1273000000.0,43000000.0,4000000.0,4000000.0,10000000.0,207000000.0,299000000.0,384000000.0,199000000.0,270000000.0,394000000.0,476000000.0,251000000.0,6566000000.0,7131000000.0,9519000000.0,5449000000.0,54000000.0,-1238000000.0,2474000000.0,696000000.0,8913432740.0,48694081460.523766,0.0,5.4629998207092285,6.291500091552734,7.003999805450439,6
