,CostsAndExpenses-0,CostsAndExpenses-1,CostsAndExpenses-2,CostsAndExpenses-3,DepreciationAndAmortization-0,DepreciationAndAmortization-1,DepreciationAndAmortization-2,DepreciationAndAmortization-3,EarningsPerShareDiluted-0,EarningsPerShareDiluted-1,EarningsPerShareDiluted-2,EarningsPerShareDiluted-3,GrossProfit-0,GrossProfit-1,GrossProfit-2,GrossProfit-3,IncomeTaxesPaidNet-0,IncomeTaxesPaidNet-1,IncomeTaxesPaidNet-2,IncomeTaxesPaidNet-3,NetIncomeLoss-0,NetIncomeLoss-1,NetIncomeLoss-2,NetIncomeLoss-3,OperatingIncomeLoss-0,OperatingIncomeLoss-1,OperatingIncomeLoss-2,OperatingIncomeLoss-3,Revenues-0,Revenues-1,Revenues-2,Revenues-3,FreeCashFlow-0,FreeCashFlow-1,FreeCashFlow-2,FreeCashFlow-3,EntityCommonStockSharesOutstanding-0,MarketCap,dividend,splits,close,static_quantile,dynamic_quantile,category
2007-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2008-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094499000.0,56465203577.00729,0.0,0.0,51.59000015258789,50.290000915527344,52.3380012512207,3
2008-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094499000.0,50522073672.99271,0.0,0.0,46.15999984741211,48.33000183105469,51.42199935913086,3
2008-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094499000.0,48190789633.94165,0.0,0.0,44.02999877929688,46.695999145507805,48.033998870849615,3
2008-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094499000.0,44075475231.02188,0.0,0.0,40.27000045776367,38.0359992980957,37.37000045776367,3
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098338000.0,36695472412.40692,0.0,0.0,33.40999984741211,33.433999633789064,38.18000030517578,3
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098338000.0,38046427649.627686,0.0,0.0,34.63999938964844,34.822000122070314,34.737999725341794,3
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149021510.0,37952179072.68585,0.0,0.0,33.029998779296875,33.0,34.30799865722656,3
2009-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149022405.0,41031589030.58857,0.0,0.0,35.709999084472656,36.662001037597655,36.56600112915039,3
2010-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153145432.0,41766928954.68823,0.0,0.0,36.220001220703125,36.18800048828125,35.94000015258789,3
2010-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153140541.0,38630208123.5,0.0,0.0,33.5,34.45600051879883,36.150001525878906,3
2010-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153140311.0,42124214153.18802,0.0,0.0,36.52999877929688,36.09999847412109,36.09999847412109,3
2010-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153143311.0,40406142673.17423,0.0,0.0,35.040000915527344,35.156001281738284,35.81800003051758,3
2011-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157664779.0,40726647278.51125,0.0,0.0,35.18000030517578,34.78800048828125,35.00599975585938,3
2011-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157666449.0,43146229084.16765,0.0,0.0,37.27000045776367,37.570001220703126,38.38999938964844,3
2011-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157688685.0,43112328572.54202,0.0,0.0,37.2400016784668,37.45399856567382,37.97200088500976,3
2011-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157762135.0,47815575292.19759,0.0,0.0,41.29999923706055,41.481999206542966,39.27000045776367,3
2012-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160406840.0,46729583977.992096,0.0,0.0,40.27000045776367,40.2599983215332,40.17199859619141,3
