,CostsAndExpenses-0,CostsAndExpenses-1,CostsAndExpenses-2,CostsAndExpenses-3,DepreciationAndAmortization-0,DepreciationAndAmortization-1,DepreciationAndAmortization-2,DepreciationAndAmortization-3,EarningsPerShareDiluted-0,EarningsPerShareDiluted-1,EarningsPerShareDiluted-2,EarningsPerShareDiluted-3,GrossProfit-0,GrossProfit-1,GrossProfit-2,GrossProfit-3,IncomeTaxesPaidNet-0,IncomeTaxesPaidNet-1,IncomeTaxesPaidNet-2,IncomeTaxesPaidNet-3,NetIncomeLoss-0,NetIncomeLoss-1,NetIncomeLoss-2,NetIncomeLoss-3,OperatingIncomeLoss-0,OperatingIncomeLoss-1,OperatingIncomeLoss-2,OperatingIncomeLoss-3,Revenues-0,Revenues-1,Revenues-2,Revenues-3,FreeCashFlow-0,FreeCashFlow-1,FreeCashFlow-2,FreeCashFlow-3,EntityCommonStockSharesOutstanding-0,MarketCap,dividend,splits,close,dynamic_quantile,category
2010-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
2011-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
2011-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
2011-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
2011-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
2012-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
2012-06-30,1927000000.0,677000000.0,584000000.0,540000000.0,139000000.0,110000000.0,103000000.0,97000000.0,-0.08,0.09,0.78,-0.1,817000000.0,781000000.0,884000000.0,718000000.0,91502762.43093924,91502762.43093924,18000000.0,3000000.0,-157000000.0,205000000.0,302000000.0,227000000.0,-743000000.0,381000000.0,547000000.0,414000000.0,1184000000.0,1058000000.0,1131000000.0,954000000.0,-171000000.0,-12000000.0,325000000.0,429000000.0,2006000000.0,62386600765.22827,0.0,0.0,31.100000381469727,,8
2012-09-29,885000000.0,1927000000.0,677000000.0,584000000.0,176000000.0,139000000.0,110000000.0,103000000.0,0.02,-0.08,0.09,0.78,940000000.0,817000000.0,781000000.0,884000000.0,13213698.630136987,13213698.630136987,174000000.0,49250000.0,-59000000.0,-157000000.0,205000000.0,302000000.0,377000000.0,-743000000.0,381000000.0,547000000.0,1262000000.0,1184000000.0,1058000000.0,1131000000.0,77000000.0,-171000000.0,-12000000.0,325000000.0,2420000000.0,52417199630.737305,0.0,0.0,21.65999984741211,28.76000022888184,8
2012-12-29,1062000000.0,885000000.0,1927000000.0,677000000.0,224000000.0,176000000.0,139000000.0,110000000.0,0.0,0.02,-0.08,0.09,1188000000.0,940000000.0,817000000.0,781000000.0,13213698.630136987,13213698.630136987,13213698.630136987,174000000.0,64000000.0,-59000000.0,-157000000.0,205000000.0,523000000.0,377000000.0,-743000000.0,381000000.0,1585000000.0,1262000000.0,1184000000.0,1058000000.0,483000000.0,77000000.0,-171000000.0,-12000000.0,2420000000.0,62702199630.737305,0.0,0.0,25.90999984741211,26.93800010681152,8
2013-03-31,1085000000.0,1062000000.0,885000000.0,1927000000.0,241000000.0,224000000.0,176000000.0,139000000.0,0.09,0.0,0.02,-0.08,1045000000.0,1188000000.0,940000000.0,817000000.0,9000000.0,0.0,2000000.0,91502762.43093924,219000000.0,64000000.0,-59000000.0,-157000000.0,373000000.0,523000000.0,377000000.0,-743000000.0,1458000000.0,1585000000.0,1262000000.0,1184000000.0,392000000.0,483000000.0,77000000.0,-171000000.0,2420000000.0,61903599815.36865,0.0,0.0,25.57999992370605,29.900000381469727,8
2013-06-30,1251000000.0,1085000000.0,1062000000.0,885000000.0,222000000.0,241000000.0,224000000.0,176000000.0,0.13,0.09,0.0,0.02,1348000000.0,1045000000.0,1188000000.0,940000000.0,9000000.0,9000000.0,0.0,2000000.0,333000000.0,219000000.0,64000000.0,-59000000.0,562000000.0,373000000.0,523000000.0,377000000.0,1813000000.0,1458000000.0,1585000000.0,1262000000.0,1054000000.0,392000000.0,483000000.0,77000000.0,2407000000.0,59886157979.96521,0.0,0.0,24.8799991607666,27.04600067138672,8
2013-09-30,1280000000.0,1251000000.0,1085000000.0,1062000000.0,274000000.0,222000000.0,241000000.0,224000000.0,0.17,0.13,0.09,0.0,1509000000.0,1348000000.0,1045000000.0,1188000000.0,43000000.0,9000000.0,9000000.0,0.0,425000000.0,333000000.0,219000000.0,64000000.0,736000000.0,562000000.0,373000000.0,523000000.0,2016000000.0,1813000000.0,1458000000.0,1585000000.0,666000000.0,1054000000.0,392000000.0,483000000.0,2430000000.0,122058898887.63428,0.0,0.0,50.22999954223633,44.310001373291016,8
