,CostsAndExpenses-0,CostsAndExpenses-1,CostsAndExpenses-2,CostsAndExpenses-3,DepreciationAndAmortization-0,DepreciationAndAmortization-1,DepreciationAndAmortization-2,DepreciationAndAmortization-3,EarningsPerShareDiluted-0,EarningsPerShareDiluted-1,EarningsPerShareDiluted-2,EarningsPerShareDiluted-3,GrossProfit-0,GrossProfit-1,GrossProfit-2,GrossProfit-3,IncomeTaxesPaidNet-0,IncomeTaxesPaidNet-1,IncomeTaxesPaidNet-2,IncomeTaxesPaidNet-3,NetIncomeLoss-0,NetIncomeLoss-1,NetIncomeLoss-2,NetIncomeLoss-3,OperatingIncomeLoss-0,OperatingIncomeLoss-1,OperatingIncomeLoss-2,OperatingIncomeLoss-3,Revenues-0,Revenues-1,Revenues-2,Revenues-3,FreeCashFlow-0,FreeCashFlow-1,FreeCashFlow-2,FreeCashFlow-3,EntityCommonStockSharesOutstanding-0,MarketCap,dividend,splits,close,static_quantile,dynamic_quantile,category
2007-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9328000000.0,274802871459.9609,0.0,0.0,29.459999084472656,29.21999969482422,29.96999931335449,8
2007-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9328000000.0,332076785766.6016,0.0,0.0,35.599998474121094,36.07200088500976,35.5759994506836,8
2008-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9328000000.0,264728632171.6309,0.0,0.0,28.3799991607666,29.172000122070312,33.0099983215332,8
2008-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9328000000.0,256613282135.00977,0.0,0.0,27.51000022888184,28.527999114990237,29.507999420166016,8
2008-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8945000000.0,223714452047.348,0.0,0.0,25.01000022888184,27.352000045776368,27.6200008392334,8
2008-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8903000000.0,172184021358.49,0.0,0.0,19.34000015258789,19.8700008392334,22.727999877929687,8
2009-03-31,10671000000.0,12455000000.0,10688000000.0,11565556164.383562,425000000.0,425000000.0,425000000.0,349041095.89041096,0.33,0.47,0.48,0.46,10834000000.0,12722000000.0,12213000000.0,12971000000.0,1650000000.0,1650000000.0,1650000000.0,1346301369.8630135,2977000000.0,4174000000.0,4373000000.0,4297000000.0,4438000000.0,5939000000.0,5999000000.0,5552495890.410959,13648000000.0,16629000000.0,15061000000.0,15837000000.0,5412000000.0,4940000000.0,2592000000.0,4594876712.328767,8891000000.0,163327677461.62415,0.0,0.0,18.3700008392334,17.970000076293946,19.47799949645996,8
2009-06-30,10054000000.0,10671000000.0,12455000000.0,10688000000.0,425000000.0,425000000.0,425000000.0,425000000.0,0.34,0.33,0.47,0.48,10513000000.0,10834000000.0,12722000000.0,12213000000.0,1650000000.0,1650000000.0,1650000000.0,1650000000.0,3045000000.0,2977000000.0,4174000000.0,4373000000.0,3987000000.0,4438000000.0,5939000000.0,5999000000.0,13099000000.0,13648000000.0,16629000000.0,15061000000.0,2974000000.0,5412000000.0,4940000000.0,2592000000.0,8891000000.0,211339074069.9768,0.0,0.0,23.770000457763672,23.69800033569336,23.29000053405761,8
2009-09-29,9346000000.0,10054000000.0,10671000000.0,12455000000.0,450000000.0,425000000.0,425000000.0,425000000.0,0.4,0.34,0.33,0.47,10078000000.0,10513000000.0,10834000000.0,12722000000.0,1025000000.0,1650000000.0,1650000000.0,1650000000.0,3574000000.0,3045000000.0,2977000000.0,4174000000.0,4482000000.0,3987000000.0,4438000000.0,5939000000.0,12920000000.0,13099000000.0,13648000000.0,16629000000.0,5672000000.0,2974000000.0,5412000000.0,4940000000.0,8813000000.0,226934750000.0,0.0,0.0,25.75,25.549999237060547,24.888000488281246,8
2009-12-30,12360000000.0,9346000000.0,10054000000.0,10671000000.0,450000000.0,450000000.0,425000000.0,425000000.0,0.74,0.4,0.34,0.33,15394000000.0,10078000000.0,10513000000.0,10834000000.0,1025000000.0,1025000000.0,1650000000.0,1650000000.0,6662000000.0,3574000000.0,3045000000.0,2977000000.0,8513000000.0,4482000000.0,3987000000.0,4438000000.0,19022000000.0,12920000000.0,13099000000.0,13648000000.0,4593000000.0,5672000000.0,2974000000.0,5412000000.0,8879121378.0,274897589733.8016,0.0,0.0,30.959999084472656,30.96799926757813,30.002000045776366,8
