,CostsAndExpenses-0,CostsAndExpenses-1,CostsAndExpenses-2,CostsAndExpenses-3,DepreciationAndAmortization-0,DepreciationAndAmortization-1,DepreciationAndAmortization-2,DepreciationAndAmortization-3,EarningsPerShareDiluted-0,EarningsPerShareDiluted-1,EarningsPerShareDiluted-2,EarningsPerShareDiluted-3,GrossProfit-0,GrossProfit-1,GrossProfit-2,GrossProfit-3,IncomeTaxesPaidNet-0,IncomeTaxesPaidNet-1,IncomeTaxesPaidNet-2,IncomeTaxesPaidNet-3,NetIncomeLoss-0,NetIncomeLoss-1,NetIncomeLoss-2,NetIncomeLoss-3,OperatingIncomeLoss-0,OperatingIncomeLoss-1,OperatingIncomeLoss-2,OperatingIncomeLoss-3,Revenues-0,Revenues-1,Revenues-2,Revenues-3,FreeCashFlow-0,FreeCashFlow-1,FreeCashFlow-2,FreeCashFlow-3,EntityCommonStockSharesOutstanding-0,MarketCap,dividend,splits,close,static_quantile,dynamic_quantile,category
2008-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2008-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2008-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2221668000.0,6420620753.062248,0.0,0.0,2.890000104904175,3.122499942779541,5.883000087738037,4
2008-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175228000.0,3594564342.606068,0.0,0.0,1.652500033378601,2.2724999427795414,3.1600000858306885,4
2009-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175228000.0,4192751990.744591,0.0,0.0,1.9275000095367432,2.110999917984009,2.150000095367432,4
2009-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2198296000.0,6281630987.716675,0.0,0.0,2.8575000762939453,2.940000057220459,2.8299999237060547,4
2009-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2198296000.0,7122479060.964584,0.0,0.0,3.240000009536743,3.0249999523162843,2.8924999237060547,4
2009-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2191200000.0,7203569791.030884,0.0,0.0,3.2874999046325684,3.5425000190734863,3.777499914169312,4
2010-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219600000.0,8539911190.509796,0.0,0.0,3.847500085830689,4.637499809265137,4.508500099182129,4
2010-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2266000000.0,8899715021.61026,0.0,0.0,3.927500009536743,4.304999828338623,4.337500095367432,4
2010-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2288673508.0,5258227144.538594,0.0,0.0,2.297499895095825,2.6355000019073485,3.240000009536743,4
2010-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2296113916.0,6899822580.349384,0.0,0.0,3.005000114440918,2.969499969482422,2.859000062942505,4
2011-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2321045024.0,13787007575.371262,0.0,0.0,5.940000057220459,5.940000057220459,5.554999828338623,4
2011-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2365600000.0,11828000000.0,0.0,0.0,5.0,4.726999855041504,5.806499862670899,4
2011-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2401153556.0,8301988374.0716305,0.0,0.0,3.4574999809265137,3.869500064849853,4.624499797821045,4
2011-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2414909460.0,9418147124.303713,0.0,0.0,3.900000095367432,3.875999927520752,3.709000062942505,4
2012-01-29,830877000.0,869090000.0,842487000.0,807177000.0,51895000.0,52387000.0,52160000.0,47764000.0,0.19,0.29,0.25,0.22,490013000.0,556717000.0,525284000.0,484503000.0,54471000.0,1003000.0,1450000.0,1404000.0,116025000.0,178273000.0,151573000.0,135219000.0,122317000.0,197090000.0,174030000.0,154862000.0,953194000.0,1066180000.0,1016517000.0,962039000.0,365336000.0,205382000.0,58698000.0,141005000.0,2442613744.0,9104842637.58168,0.0,0.0,3.7274999618530273,3.677500009536743,3.72549991607666,4
